ID.Cell.per.Trip,Area,Site,Age,Year,Total.Angler.Hours,Grid.Cell.ID,Barred Sand Bass,Bat Ray,Bigmouth Sole,Black Rockfish,Black-and-Yellow Rockfish,Blacksmith,Blue Rockfish,Bocaccio,Brown Rockfish,Buffalo Sculpin,Bull Sculpin,Cabezon,Calico Rockfish,California Halibut,California Lizardfish,California Scorpionfish,California Sheephead,Canary Rockfish,Chilipepper Rockfish,China Rockfish,Chinook Salmon,Common Thresher Shark,Copper Rockfish,Deacon Rockfish,Fantail Sole,Freckled Rockfish,Garibaldi,Gopher Rockfish,Grass Rockfish,Halfmoon,Honeycomb Rockfish,Jack Mackerel,Jack Smelt,Kelp Bass,Kelp Greenling,Kelp Rockfish,Lingcod,Longfin Sanddab,Mackerel (Family Scombridae),Northern Anchovy,Ocean Whitefish,Olive or Yellowtail Rockfish,Olive Rockfish,Opaleye,Pacific  (Chub) Mackerel,Pacific Barracuda,Pacific Bonito,Pacific Halibut,Pacific Sanddab,Pacific Sardine,Painted Greenling,Pelagic Stingray,Petrale Sole,Pile Perch,Quillback Rockfish,Rock Greenling,Rock Sole,Rock Wrasse,Rosy Rockfish,Rubberlip Seaperch,Salema,Sand Sole,Sanddab spp.,Sarcastic Fringehead,Scalyhead Sculpin,Senorita,Sharpnose Surfperch,Silversides (Family Atherinopsidae),Soupfin Shark,Speckled Sanddab,Spiny Dogfish,Squarespot Rockfish,Starry Rockfish,Striped Seaperch,Tiger Rockfish,Top smelt,Treefish,Tubesnout,UnID Blue Rockfish,Unknown,Unknown rockfish,Vermilion Rockfish,White Croaker,White Seabass,Widow Rockfish,Wolf Eel,Yelloweye Rockfish,Yellowfin Croaker,Yellowtail Jack,Yellowtail Rockfish,Total
AIM10181809,Anacapa Island,MPA,New,2018,8.795,AI09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122464324,0.437797632,0,0,0,0,0,0.016438661,0,0,0,0,0.138829082,0,0,0,0,0,0.063402448,0,0,0,0,0,0,2.367965887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075933539,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222831573
AIM10231904,Anacapa Island,MPA,New,2019,8.141666666,AI04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.593135325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800320787,0,0.090255032,0,0,0,0,7.177796211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.661507355
AIM10231908,Anacapa Island,MPA,New,2019,6.908333334,AI08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109940946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074248835,0,0,0,0,0,0,0,0,0,0,2.781813134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087926915,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05392983
AIM10251701,Anacapa Island,MPA,New,2017,7.329722222,AI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145442353,3.084117159,0,0,0,0,0,0.498546453,0,0,0,0,0,0,0,0,0,0,0.709028248,0,0.085591991,0,0,0,0,14.48032271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00304891
AIM10251704,Anacapa Island,MPA,New,2017,4.983333333,AI04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.663020747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828269849,0,0,0,0,0.066632794,0,13.95512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51305034
AIM10291801,Anacapa Island,MPA,New,2018,4.416666667,AI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249569046,0,0,0,0,0,0,0,0,0,0,0,0,1.367938498,0,0,0,1.188726642,0,0,0,0,0,0,0.838528351,0.52349599,0,0.156937267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.325195792
AIM10291805,Anacapa Island,MPA,New,2018,5.449999999,AI05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098814104,3.634654159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11514384,0,0,0,0,0,0,12.16864637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.01725847
AIM10301803,Anacapa Island,MPA,New,2018,8.741666667,AI03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677957632,0,0,0,0,0,0.10423691,0,0,0,0,0,0,0,0,0,0,1.330702255,0,0,0,0,0,0,23.77599114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.88888794
AIM10301804,Anacapa Island,MPA,New,2018,2.733333333,AI04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032794177,2.62680903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667747292,0,0,0,0,0,0,15.05235425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37970475
AIM10311804,Anacapa Island,MPA,New,2018,9.816666667,AI04,0,0,0,0,0,0.020290989,0,0,0.206418988,0,0,0,0,0,0,0.03632454,2.12159272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.307508914,0,0.037309285,0,0,0,0,8.08946917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81891461
AIM10311808,Anacapa Island,MPA,New,2018,8.35,AI08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070904837,0.540698495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325025082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104570592,0,0,0,0,0,0,0,0,0,0,0,0,0,4.041199005
AIM11071702,Anacapa Island,MPA,New,2017,8.45,AI02,0,0,0,0,0,0,0,0,0.095689618,0,0,0,0,0,0,0,0.610381458,0,0,0,0,0,0.492537214,0,0,0,0,0,0,0,0,0,0,0.593339559,0,0.279574646,0,0,0,0,9.383502165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45502466
AIM11071708,Anacapa Island,MPA,New,2017,8.8,AI08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344385646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172315606,0,0,0,0,2.024069416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069025959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.609796627
AIM11141806,Anacapa Island,MPA,New,2018,5.783333333,AI06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377480766,0,0,0,0.362024451,0,0,0,0,0,0,4.85802673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.597531947
AIM11141807,Anacapa Island,MPA,New,2018,6.070833333,AI07,0,0,0,0,0,0.032810961,0.207344849,0,0,0,0,0,0,0,0,0.097524567,0.657719747,0,0,0,0,0,0.751699248,0,0,0,0,0.201495909,0,0,0,0,0,0,0,0,0,0,0,0,2.287506818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504733331,0,0,0,0,0,0,0,0,0,0,0,0,0,4.740835429
AIR09171910,Anacapa Island,REF,New,2019,4.25,AI10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21178285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329149935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.540932784
AIR09171913,Anacapa Island,REF,New,2019,8.383333333,AI13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070014019,0.079921461,0,0,0,0,0,0,0,0,0,0,0.103270451,0,0.351834861,0,0,0,0.066515849,0,0,0,0,0,0,1.087134941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086234033,0,0,0,0,0,0,0,0,0,0,0,0,0,1.844925614
AIR09181911,Anacapa Island,REF,New,2019,7.651388889,AI11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037040188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047867494,0,0,0,0,0.656803972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21792348,0,0,0,0,0,0,0,0,0.959635135
AIR09181917,Anacapa Island,REF,New,2019,5.398055555,AI17,0,0,0,0,0,0,0.159448167,0,0,0,0,0,0,0,0,0.073631301,0,0,0,0,0,0,0.141133774,0,0,0,0,0.064176417,0,0,0,0,0,0,0,0,0,0,0,0,1.120944681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021014496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267560462,0,0,0,0,0,0,0,0,0,0,0,0,0,1.847909297
AIR09191912,Anacapa Island,REF,New,2019,6.45,AI12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225688714,0,0,0,0,0.059208399,0,0,0,0,0,0,0,0,0,0,0,0,1.215903687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188349903,0,0,0,0,0,0,0,0,0,0,0,0,0,1.689150703
AIR09191915,Anacapa Island,REF,New,2019,6.749999999,AI15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102791741,0,0,0,0,0,0,0,0,0,0,0.063070382,0,0,0,0,0,0,0.35479216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016805543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036676748,0,0,0,0,0,0,0,0,0.081802756,0,0,0,0,0,0,0,0,0.65593933
AIR10091914,Anacapa Island,REF,New,2019,9.266666667,AI14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099647878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870277867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059441515,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029367261
AIR10091916,Anacapa Island,REF,New,2019,8.75,AI16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142741917,0,0,0,0,0,0,0,0,0.005151938,0,0,0,0,0,0,0,0,1.223475915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153097474,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524467244
AIR10181810,Anacapa Island,REF,New,2018,8.066666667,AI10,0,0,0,0,0,0.02469296,0,0,0,0,0,0,0,0,0,0.066760768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.780516463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055600943,0,0,0,0,0,0,0,0,0,0,0,0,0,3.927571133
AIR10181813,Anacapa Island,REF,New,2018,8.983333333,AI13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039694163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051812367,0,0,0,0,0,0.033229475,0,0,0,0,2.302988933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210240456,0,0,0,0,0,0,0,0,0,0,0,0,0,2.637965394
AIR10231910,Anacapa Island,REF,New,2019,8.283333334,AI10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952161809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722352434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114697093,0,0,0,0,0,0,0,0,0,0,0,0,0,1.789211335
AIR10231916,Anacapa Island,REF,New,2019,6.733333333,AI16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119842285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88016741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21553554,0,0,0,0,0,0,0,0,0,0,0,0,0,1.215545235
AIR10251711,Anacapa Island,REF,New,2017,6.5125,AI11,0,0,0,0,0,0,0.140500588,0,0,0,0,0,0,0,0,0.099654013,0,0,0,0,0,0,0.411397106,0,0,0,0,0.123063029,0,0,0,0,0,0,0,0,0,0,0,0,1.397916761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229901722,0,0,0,0,0,0,0,0,0,0,0,0,0,2.402433219
AIR10251715,Anacapa Island,REF,New,2017,7.0325,AI15,0,0,0,0,0,0,0.258994344,0,0,0,0,0,0,0,0,0.03142152,0.038292106,0,0,0,0,0,0.261901202,0,0,0,0,0.065333771,0,0,0,0,0,0,0,0,0,0,0,0,1.027080784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06292699,0,0,0,0,0,0,0,0.167813096,0,0,0,0,0.01725418,0.105959963,0,0,0,0.097612838,0,0,0,0,0,0,0,0,0,0,0,0,0,2.134590792
AIR10291812,Anacapa Island,REF,New,2018,5.175,AI12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076804995,0.085162889,0,0,0,0,0,0.246572794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.229415488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069542362,0,0,0,0,0.086724398,0,0,0,0,0,0,0,0,1.794222927
AIR10291814,Anacapa Island,REF,New,2018,6.3375,AI14,0,0,0,0,0,0.01813026,0,0,0,0,0,0,0,0,0,0.196968119,0.222376575,0,0,0,0,0,0,0,0,0,0,0,0,0.207226997,0,0.084814856,0,0,0,0,0,0,0,0,0.958643731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078563469,0,0,0,0,0,0,0,0,0,0,0,0,0,1.766724007
AIR10301815,Anacapa Island,REF,New,2018,9.674999999,AI15,0,0,0,0,0,0.040370268,0,0,0,0,0,0,0,0,0,0,0.16428519,0,0,0,0,0,0.338840517,0,0,0,0,0.093856622,0,0.014470771,0,0,0,0,0,0,0,0,0,0,1.840508381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040610364,0,0,0,0.703503237,0,0,0,0,0.240440146,0,0,0,0,0,0,0,0,3.476885496
AIR10301816,Anacapa Island,REF,New,2018,8.4,AI16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21018273,0,0,0,0,0,0,0,0,0,0,0,0.045463592,0,0.06708663,0,0,0,0,0,0,0,0,0,0,1.347747551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053394556,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723875059
AIR11071714,Anacapa Island,REF,New,2017,8.75,AI14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099352958,0.134942232,0,0,0,0,0,0,0,0,0,0,0.022868294,0,0.058621223,0,0,0,0,0,0,0,0,0,0,1.550912913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110133525,0,0,0,0,0,0,0,0,0,0.08225868,0,0,0,0,0,0,0,0,0,0,0,0,0,2.059089825
AIR11071716,Anacapa Island,REF,New,2017,8.216666667,AI16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05371368,0.083001765,0,0,0,0,0,0,0,0,0,0,0.038105634,0,0,0,0,0,0,0,0,0,0,0.165163009,0,1.478291596,0,0,0.076802551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097432986,0,0,0,0,0,0,0,0,0,0,0,0,0,1.992511221
AIR11081712,Anacapa Island,REF,New,2017,6.233333333,AI12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181015628,0,0,0,0,0,0,0.305208555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.703710593,0,0,0,0,0,0,0,0.016643006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009991236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.216569018
AIR11081713,Anacapa Island,REF,New,2017,6.775,AI13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039747489,0,0,0,0,0,0,0,0,0,0,0.033271491,0,0,0,0,0,0,0,0,0,0,0,0,2.445337788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073490182,0,0,0,0,0,0,0,0,0,0,0,0,0,2.591846949
AIR11141811,Anacapa Island,REF,New,2018,6.5,AI11,0,0,0,0,0,0,0.167636472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087762261,0,0,0,0,0.058752949,0,0,0,0,0,0,0,0,0,0,0,0,0.921046681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327927855,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563126219
AIR11141817,Anacapa Island,REF,New,2018,4.716666667,AI17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33299788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.187371297,0.063194861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269806743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.853370781
ANM07150814,Ano Nuevo,MPA,New,2008,6.775,AN14,0,0,0,1.848744048,0,0,0.197510835,0,0.339308188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76785079,0,0,0,0,0,0,0,0,0.789684643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.943098505
ANM07150815,Ano Nuevo,MPA,New,2008,6.9025,AN15,0,0,0,0,0,0,1.372815109,0,0.126275468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664534865,0,0,0,0,0,0,0,0,0.799015896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.962641338
